Time,Year,Month,Temp,Chl
84,2005,12,17.242218317399,0.0961038946208578
85,2006,1,15.5019038006898,0.0899284795090221
86,2006,2,14.6969335116486,0.107823679203088
87,2006,3,14.7169463301865,0.120920852144226
88,2006,4,16.2020102706352,0.129745025018426
89,2006,5,19.189234984104,0.16684841662736
90,2006,6,22.1516564159002,0.154740887344526
91,2006,7,25.8477522919373,0.130283925627162
92,2006,8,26.086742036008,0.1304959404122
93,2006,9,24.8781905170027,0.128758695476303
94,2006,10,22.9515214020334,0.11677588634249
95,2006,11,20.118818131193,0.106434449102616
96,2006,12,17.9996946573313,0.0923275244456596
97,2007,1,16.3187043504979,0.07995132668468
98,2007,2,15.5072497678091,0.094294913160024
99,2007,3,15.4941530505808,0.0985087206910255
100,2007,4,16.5266964018962,0.115053228474661
101,2007,5,19.3124895924565,0.154623653355449
102,2007,6,22.6955394289431,0.148334759030914
103,2007,7,25.2107151988613,0.133797434193655
104,2007,8,26.0134592566671,0.125011381962879
105,2007,9,24.7274712415301,0.126705887758213
106,2007,10,22.6708185887353,0.118532957989387
107,2007,11,19.6746503984662,0.102852468457535
108,2007,12,17.2589341783563,0.0936745015561244
109,2008,1,15.8722995787709,0.0899178230955932
110,2008,2,15.2059372479333,0.0999241546635055
111,2008,3,15.3092405130928,0.0999025369957613
112,2008,4,16.1545923939788,0.117324509867433
113,2008,5,18.7456158419172,0.157252242514844
114,2008,6,22.4950480001589,0.150597252474736
115,2008,7,25.508575375792,0.129357802311424
116,2008,8,26.435030429212,0.127291089030373
117,2008,9,25.4627818897319,0.12720115741613
118,2008,10,22.60481668719,0.11448002111426
119,2008,11,20.3891644495803,0.103136948315059
120,2008,12,17.5716140983437,0.0925216475340666
121,2009,1,15.920192195156,0.0890741704226328
122,2009,2,15.1048248775086,0.110754317094305
123,2009,3,14.8971049813962,0.119247120446076
124,2009,4,15.9442947395879,0.125255327802519
125,2009,5,19.1331074850992,0.172604896417511
126,2009,6,22.9329621231676,0.1606921926904
127,2009,7,25.5135414042952,0.136392102716238
128,2009,8,26.7974100014399,0.129379931687895
129,2009,9,25.5532661591076,0.128024778054606
130,2009,10,23.072859127839,0.115840770631875
131,2009,11,19.8627214179127,0.102931856471778
132,2009,12,17.5865034620719,0.0964701210045356
133,2010,1,16.0661577334981,0.0915758138889136
134,2010,2,15.2140812822859,0.111304681986989
135,2010,3,15.3109106015975,0.117590732038165
136,2010,4,16.5842985233618,0.11683909507038
137,2010,5,18.867821884736,0.151752427546648
138,2010,6,22.1876320386148,0.150107410603583
139,2010,7,25.6345847535817,0.131397669530633
140,2010,8,26.3797743611722,0.12689642601593
141,2010,9,25.1132894562241,0.126097801781738
142,2010,10,22.8115044605674,0.114171008621101
143,2010,11,20.0912914871037,0.10512621480767
144,2010,12,17.8697044745571,0.0995914470309891
145,2011,1,16.3348923905261,0.0916434771617713
146,2011,2,15.549075033237,0.104589478238071
147,2011,3,15.3777821774011,0.112500939000181
148,2011,4,16.6526016490059,0.119707865932397
149,2011,5,19.0008015706053,0.152141791110032
150,2011,6,22.5204494114004,0.151123075800534
151,2011,7,25.2141483349968,0.132617399060257
152,2011,8,26.2218028686457,0.124260465963785
153,2011,9,25.8123602179993,0.123535085494333
154,2011,10,22.926863847099,0.114971980448829
155,2011,11,19.9727253428021,0.106697010714987
156,2011,12,17.8062166247041,0.0979296979068204
157,2012,1,15.8913784603682,0.0876734858146063
158,2012,2,14.8171718629041,0.10262502218359
159,2012,3,14.973393399896,0.118469556250302
160,2012,4,16.1382288272672,0.132503298960474
161,2012,5,18.9502950651318,0.168735571972817
162,2012,6,23.0777357812476,0.15188771705986
163,2012,7,26.0090153665087,0.134494879517172
164,2012,8,27.1967730832955,0.130731564660637
165,2012,9,25.4591363044467,0.125411201420752
166,2012,10,23.8363932329022,0.119906126083057
167,2012,11,20.9829467193381,0.101563757782897
168,2012,12,17.8277078013337,0.0912567119429722
169,2013,1,16.0586168235893,0.0886286845476417
170,2013,2,15.1559164607797,0.110177996609354
171,2013,3,15.1061083392236,0.119151634437295
172,2013,4,16.3871855226354,0.135617295855568
173,2013,5,19.047211908168,0.163299661859156
174,2013,6,21.7553881975781,0.16053802702548
175,2013,7,25.0699316064231,0.135453624222375
176,2013,8,26.5976025234447,0.127068219827802
177,2013,9,25.3484209364428,0.127346747487005
178,2013,10,23.2990552313754,0.121789817318758
179,2013,11,20.7584319752495,0.104744922720858
180,2013,12,17.7290637820349,0.088165311323231
181,2014,1,16.31749956348,0.0833382408024173
182,2014,2,15.6174173384218,0.102644090575523
183,2014,3,15.6157684432818,0.104371629848553
184,2014,4,16.7334296747694,0.107771337984909
185,2014,5,18.9204402628656,0.152135984330318
186,2014,6,22.6156732999878,0.153203564534482
187,2014,7,24.8235637527358,0.13174366368785
188,2014,8,26.2065569767301,0.124038320114079
189,2014,9,25.7199245778191,0.123159821925614
190,2014,10,23.6273289828274,0.117004811256325
191,2014,11,20.7107583676376,0.10064140513929
192,2014,12,18.4295285433244,0.0875254596224365
193,2015,1,16.2712581848917,0.0888353399308745
194,2015,2,15.2460231294062,0.108261070494674
195,2015,3,15.1741089099851,0.119884654641892
196,2015,4,16.2019972987714,0.118207495757274
197,2015,5,19.404414622955,0.165445073096618
198,2015,6,22.8088633170891,0.156976636866446
199,2015,7,26.3461172874796,0.132755907265241
200,2015,8,27.3554992406842,0.124328942808988
201,2015,9,25.8911965306515,0.125087888004445
202,2015,10,23.2532817402537,0.116424866280962
203,2015,11,20.5839100790254,0.10199613870728
204,2015,12,18.083275394602,0.0895476592415572
205,2016,1,15.9104389813909,0.0829029545930989
206,2016,2,15.7404074183283,0.0945207187922222
207,2016,3,15.6302583442886,0.105123176437307
208,2016,4,17.0550862622571,0.11892886962518
209,2016,5,18.8526596804228,0.154163386172914
210,2016,6,22.695714114627,0.15148118312353
211,2016,7,25.5312634626409,0.132322108782741
212,2016,8,26.1920632923893,0.123578829074575
213,2016,9,25.57531381672,0.121312615975492
214,2016,10,23.5334477048676,0.119482226557611
215,2016,11,20.8025441820699,0.105663114049054
216,2016,12,18.2753558717016,0.0889999701871568
217,2017,1,16.0953216446166,0.0841247817169048
218,2017,2,15.3407307462847,0.0986473114870926
219,2017,3,15.5757590667798,0.104290109667495
220,2017,4,16.7050674087509,0.126459912633281
221,2017,5,19.2075309980686,0.164793033493601
222,2017,6,23.4549092135521,0.151485450912425
223,2017,7,25.8174552033616,0.131121135682963
224,2017,8,26.8544323575121,0.125751256034932
225,2017,9,25.2421821761369,0.12454568093137
226,2017,10,22.8998925589976,0.116688617269426
227,2017,11,20.0456599400065,0.105046275706884
228,2017,12,17.5183238400091,0.0916428282115519
229,2018,1,16.0747679453816,0.0918895843894698
230,2018,2,15.3921275992918,0.101173664223632
231,2018,3,15.4833817599655,0.108178889753329
232,2018,4,16.9713327315827,0.135163369473829
233,2018,5,19.958618913553,0.158840298726532
234,2018,6,23.4067592120098,0.149057393709418
235,2018,7,25.8703030992739,0.130994474771951
236,2018,8,27.3150384480632,0.123446130469223
237,2018,9,26.059286798128,0.125437205861164
238,2018,10,23.2744930449945,0.116840280870088
239,2018,11,20.4787529285088,0.10383736888523
240,2018,12,17.9134129867495,0.0901010886976119
241,2019,1,15.9585748489031,0.0923891407549272
242,2019,2,15.2398985939144,0.114510153503272
243,2019,3,15.4511227177155,0.115082751045658
244,2019,4,16.2821413502389,0.119717185496621
245,2019,5,18.419764364465,0.158021494612783
246,2019,6,23.2366530808949,0.160875638871401
247,2019,7,26.2400068599369,0.136201956157433
248,2019,8,27.0592633148004,0.125639234916262
249,2019,9,25.7784985879968,0.127479321915209
250,2019,10,23.7289222785458,0.122147551268656
251,2019,11,20.8281029696661,0.106196372103388
252,2019,12,18.2003634841519,0.0978920882375331
253,2020,1,16.2937818765356,0.0956681962543214
254,2020,2,15.7517138158063,0.0995953998273117
255,2020,3,15.7591792357762,0.101001296434691
256,2020,4,16.7377808897355,0.11928406512067
257,2020,5,19.6244682756437,0.163157867994767
258,2020,6,22.3093773586848,0.157020556918405
259,2020,7,25.6258556453395,0.135934066037561
260,2020,8,27.110783815987,0.131559507401208
261,2020,9,26.1956086896183,0.128601280183917
262,2020,10,23.3667042774242,0.119715463816076
